Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
35-39,Woman,Master's,Program/Project Manager,Hospitality/Entertainment/Sports,250-999 employees,do not use,"50,000-59,999",I have never written code,,,,,,,,,,,,,,,,,,
60-69,Man,college study without degree,Other,Computers/Technology,"10,000 or more employees",I do not know,,20+ years,5-10 years,laptop,,2-5 times,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
30-34,Man,Master's,Data Analyst,Accounting/Finance,"10,000 or more employees",recently started,"60,000-69,999",3-5 years,2-3 years,laptop,SQLite ,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,
22-24,Nonbinary,college study without degree,Currently not employed,,,,,10-20 years,5-10 years,cloud computing platform,,Never,Other,Yes,,,,Yes,Yes,Yes,,,,,,Yes
45-49,Man,Master's,Other,Computers/Technology,0-49 employees,do not use,"100,000-124,999",20+ years,1-2 years,laptop,SQLite ,Never,Basic statistical software,Yes,,Yes,Yes,,Yes,,,,Yes,,,Yes
22-24,Man,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
45-49,Man,Bachelor's,Data Scientist,Computers/Technology,250-999 employees,recently started,"150,000-199,999",5-10 years,5-10 years,cloud computing platform,Microsoft Azure Cosmos DB ,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Master's,Other,Academics/Education,"10,000 or more employees",I do not know,"20,000-24,999",3-5 years,2-3 years,desktop,,Never,Advanced statistical software,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,,Yes
55-59,Man,Bachelor's,Software Engineer,,,,,20+ years,,desktop,,Never,,Yes,,,,,,,,,,,,
25-29,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,,,,,,,,,,,,,
35-39,Man,Master's,Data Analyst,Academics/Education,250-999 employees,exploring,"60,000-69,999",20+ years,4-5 years,desktop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,,,
25-29,Man,Doctoral,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,,Yes,,,,,,,,,,,
25-29,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Advanced statistical software,Yes,Yes,Yes,,,,,,,,,,
45-49,Man,Doctoral,Research Scientist,Accounting/Finance,"1000-9,999 employees",for insights only,"300,000-499,999",20+ years,10-20 years,desktop,Microsoft Azure SQL Database ,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
30-34,Woman,Bachelor's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,,,,,,,,,,,,,,
25-29,Man,Master's,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",recently started,"20,000-24,999",5-10 years,5-10 years,laptop,PostgreSQL ,Never,Local development environments,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes
55-59,Man,Master's,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees",for insights only,"80,000-89,999",5-10 years,4-5 years,laptop,Microsoft SQL Server ,Once,Basic statistical software,,Yes,Yes,,,,,Yes,Yes,Yes,,,
55-59,Man,Bachelor's,Software Engineer,Computers/Technology,"1000-9,999 employees",well established,"125,000-149,999",20+ years,20 or more years,laptop,Microsoft SQL Server ,6-25 times,Cloud-based data software & APIs,Yes,,,Yes,Yes,,Yes,,,,Yes,Yes,Yes
45-49,Man,Master's,Business Analyst,Computers/Technology,"10,000 or more employees",well established,"25,000-29,999",5-10 years,3-4 years,laptop,Microsoft Azure Cosmos DB ,2-5 times,Basic statistical software,Yes,,Yes,,,,,,Yes,Yes,,Yes,
40-44,Woman,Bachelor's,Machine Learning Engineer,Other,0-49 employees,I do not know,0-999,< 1 years,Under 1 year,desktop,,2-5 times,Other,Yes,,,Yes,Yes,,,,,Yes,Yes,,
25-29,Woman,Master's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,Advanced statistical software,Yes,,,Yes,,,,,,,,,
55-59,Woman,Master's,DBA/Database Engineer,Online Service/Internet-based Services,0-49 employees,for insights only,0-999,20+ years,2-3 years,laptop,,Never,Other,Yes,,Yes,,,,,,Yes,Yes,,,
22-24,Woman,Bachelor's,Data Analyst,Military/Security/Defense,"10,000 or more employees",recently started,"70,000-79,999",1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,,,,
25-29,Man,Bachelor's,Data Analyst,Military/Security/Defense,50-249 employees,do not use,"70,000-79,999",< 1 years,I do not use machine learning methods,laptop,,Never,,,,Yes,,,,,,,,,,
60-69,Man,Master's,Software Engineer,Online Service/Internet-based Services,"1000-9,999 employees",exploring,"150,000-199,999",20+ years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
25-29,Man,Master's,Data Scientist,Marketing/CRM,"10,000 or more employees",exploring,"70,000-79,999",1-3 years,1-2 years,laptop,,Once,Advanced statistical software,Yes,,Yes,,Yes,,,,,Yes,,,
40-44,Man,high school,Data Engineer,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",5-10 years,3-4 years,desktop,PostgreSQL ,Never,Local development environments,Yes,,Yes,Yes,,Yes,Yes,,Yes,,,,Yes
60-69,Man,Doctoral,Research Scientist,Academics/Education,250-999 employees,for insights only,"90,000-99,999",20+ years,5-10 years,desktop,,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes
25-29,Man,Master's,Student,,,,,10-20 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,Yes,,,Yes,
40-44,Woman,Master's,Data Scientist,Retail/Sales,250-999 employees,well established,"150,000-199,999",10-20 years,4-5 years,cloud computing platform,Microsoft Azure SQL Database ,Never,,Yes,Yes,Yes,Yes,,,,,,,Yes,,
60-69,Man,Bachelor's,Business Analyst,Other,0-49 employees,exploring,"30,000-39,999",3-5 years,1-2 years,laptop,PostgreSQL ,Never,,Yes,,,Yes,,,,,Yes,,,,
55-59,Man,Master's,Product Manager,Marketing/CRM,"1000-9,999 employees",well established,"500,000-999,999",3-5 years,4-5 years,laptop,Snowflake ,Never,Basic statistical software,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes
25-29,Man,Master's,Machine Learning Engineer,Other,"10,000 or more employees",well established,"500,000-999,999",5-10 years,5-10 years,cloud computing platform,,Once,Other,Yes,,,,Yes,Yes,,,,Yes,Yes,,
25-29,Man,Master's,Business Analyst,Computers/Technology,0-49 employees,I do not know,"90,000-99,999",< 1 years,Under 1 year,desktop,,Never,Other,,,Yes,,,,,,Yes,Yes,,Yes,
25-29,Man,Master's,Business Analyst,Insurance/Risk Assessment,0-49 employees,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,,Yes,,,,,,,,,,
25-29,Man,Doctoral,Student,,,,,3-5 years,I do not use machine learning methods,laptop,,Never,Other,Yes,,Yes,,,,,,,,,,
60-69,Man,Professional doctorate,Research Scientist,Medical/Pharmaceutical,50-249 employees,well established,"150,000-199,999",20+ years,4-5 years,laptop,SQLite ,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
45-49,Woman,Bachelor's,Software Engineer,Computers/Technology,"1000-9,999 employees",do not use,,1-3 years,1-2 years,laptop,,Never,,Yes,,Yes,,,,,,,,,,
55-59,Man,high school,Other,Marketing/CRM,"1000-9,999 employees",I do not know,"60,000-69,999",I have never written code,,,,,Other,,,,,,,,,,,,,
55-59,Man,college study without degree,Data Analyst,Other,0-49 employees,do not use,"100,000-124,999",10-20 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
60-69,Man,Doctoral,Currently not employed,,,,,10-20 years,5-10 years,cloud computing platform,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,,,
30-34,Man,Master's,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees",exploring,"125,000-149,999",5-10 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,,,Yes,
30-34,Man,Bachelor's,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees",exploring,"60,000-69,999",1-3 years,Under 1 year,laptop,Microsoft Azure Cosmos DB ,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
30-34,Woman,Master's,Data Scientist,Government/Public Service,250-999 employees,exploring,"100,000-124,999",5-10 years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
45-49,Man,Bachelor's,Other,Marketing/CRM,0-49 employees,for insights only,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,,,,,,,,,,
25-29,Man,Bachelor's,Statistician,Military/Security/Defense,"10,000 or more employees",exploring,"60,000-69,999",3-5 years,Under 1 year,desktop,,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,
50-54,Man,Master's,Software Engineer,Accounting/Finance,250-999 employees,exploring,"200,000-249,999",20+ years,Under 1 year,desktop,Snowflake ,Never,Basic statistical software,Yes,,Yes,Yes,,,,,Yes,Yes,,,
40-44,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,0-49 employees,exploring,"150,000-199,999",10-20 years,2-3 years,laptop,,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
70+,Man,Master's,Data Analyst,Academics/Education,"1000-9,999 employees",do not use,"4,000-4,999",20+ years,2-3 years,desktop,,Never,Advanced statistical software,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,
70+,Man,Doctoral,Data Scientist,Military/Security/Defense,"10,000 or more employees",do not use,"50,000-59,999",10-20 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Data Analyst,Academics/Education,0-49 employees,exploring,"60,000-69,999",1-3 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
35-39,Man,Master's,Business Analyst,Accounting/Finance,"10,000 or more employees",well established,"100,000-124,999",3-5 years,1-2 years,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,Yes,,,,
25-29,Man,Bachelor's,Business Analyst,Marketing/CRM,0-49 employees,do not use,"60,000-69,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Woman,Doctoral,Student,,,,,1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
35-39,Man,Bachelor's,Data Analyst,Academics/Education,"10,000 or more employees",recently started,0-999,I have never written code,,,,,Local development environments,,,,,,,,,,,,,
30-34,Man,Master's,Data Scientist,Marketing/CRM,0-49 employees,well established,"100,000-124,999",5-10 years,4-5 years,desktop,,Once,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
55-59,Man,college study without degree,Other,Other,50-249 employees,I do not know,"60,000-69,999",I have never written code,,,,,Other,,,,,,,,,,,,,
18-21,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,desktop,,Never,Other,Yes,,,,,,,,,,,,
40-44,Man,Master's,Program/Project Manager,Military/Security/Defense,0-49 employees,for insights only,"150,000-199,999",10-20 years,3-4 years,laptop,Microsoft SQL Server ,Never,Basic statistical software,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Bachelor's,Product Manager,Computers/Technology,250-999 employees,well established,"300,000-499,999",1-3 years,3-4 years,cloud computing platform,Amazon Aurora ,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18-21,Man,Bachelor's,Other,Academics/Education,0-49 employees,I do not know,"50,000-59,999",3-5 years,Under 1 year,laptop,,Never,Advanced statistical software,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,
50-54,Man,Master's,Machine Learning Engineer,Other,"10,000 or more employees",well established,"250,000-299,999",20+ years,10-20 years,Other,Snowflake ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes
25-29,Man,Bachelor's,Student,,,,,5-10 years,1-2 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,,,,
22-24,Man,Master's,Student,,,,,1-3 years,1-2 years,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes
45-49,Man,Professional doctorate,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",well established,0-999,10-20 years,5-10 years,laptop,,More than 25 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
50-54,Man,Master's,Currently not employed,,,,,10-20 years,Under 1 year,desktop,,Never,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
45-49,Prefer not to say,prefer not to answer,Data Analyst,,,,,10-20 years,10-20 years,laptop,,Never,,,,,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
55-59,Man,college study without degree,Student,,,,,< 1 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,,,,,,,,,,
25-29,Man,Master's,Data Scientist,Other,"1000-9,999 employees",for insights only,"80,000-89,999",3-5 years,1-2 years,laptop,Microsoft SQL Server ,Never,Local development environments,,Yes,Yes,,,,,,Yes,Yes,,,
40-44,Man,Doctoral,Program/Project Manager,Energy/Mining,"10,000 or more employees",well established,"250,000-299,999",10-20 years,5-10 years,laptop,Microsoft Azure SQL Database ,Never,Business intelligence software,Yes,,,Yes,,,,,Yes,Yes,,Yes,
50-54,Man,Master's,Product Manager,Insurance/Risk Assessment,"10,000 or more employees",well established,"150,000-199,999",20+ years,1-2 years,cloud computing platform,Amazon RDS ,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
35-39,Man,Master's,Other,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",3-5 years,1-2 years,cloud computing platform,,Once,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes
35-39,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,desktop,,Never,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
50-54,Woman,Bachelor's,Data Analyst,Academics/Education,250-999 employees,do not use,"20,000-24,999",< 1 years,I do not use machine learning methods,laptop,MySQL ,Never,Local development environments,,Yes,Yes,,,,,,,,,,
25-29,Man,Bachelor's,Other,Hospitality/Entertainment/Sports,50-249 employees,I do not know,"30,000-39,999",I have never written code,,,,,,,,,,,,,,,,,,
40-44,Man,Master's,Machine Learning Engineer,Accounting/Finance,0-49 employees,recently started,"125,000-149,999",5-10 years,4-5 years,desktop,Amazon Redshift ,More than 25 times,Cloud-based data software & APIs,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
30-34,Woman,Master's,Software Engineer,Computers/Technology,"10,000 or more employees",I do not know,"10,000-14,999",5-10 years,Under 1 year,laptop,Oracle Database ,Never,Basic statistical software,,,Yes,Yes,,,,,Yes,,,,
50-54,Man,Master's,Data Analyst,Accounting/Finance,"10,000 or more employees",well established,"100,000-124,999",10-20 years,I do not use machine learning methods,cloud computing platform,Other,Never,Business intelligence software,,,Yes,,,,,,,,,,
45-49,Man,Master's,Software Engineer,Accounting/Finance,"1000-9,999 employees",exploring,,20+ years,Under 1 year,laptop,,2-5 times,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,
22-24,Man,Master's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,,,,
55-59,Man,Master's,DBA/Database Engineer,Insurance/Risk Assessment,"10,000 or more employees",do not use,0-999,20+ years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,Yes,,,,,,Yes,,,,
25-29,Woman,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,,,,,,,,
40-44,Man,college study without degree,Software Engineer,Computers/Technology,"1000-9,999 employees",well established,"150,000-199,999",20+ years,Under 1 year,laptop,Snowflake ,Never,Local development environments,Yes,,,,,,,,,,,,
25-29,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"100,000-124,999",5-10 years,3-4 years,deep learning workstation,,Never,Local development environments,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,
22-24,Man,college study without degree,Currently not employed,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,,,,,,,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",recently started,"90,000-99,999",10-20 years,2-3 years,cloud computing platform,,6-25 times,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30-34,Man,Doctoral,Student,,,,,10-20 years,,desktop,,Never,,Yes,Yes,Yes,,,,,,,,,,
30-34,Man,Master's,Software Engineer,Academics/Education,"10,000 or more employees",recently started,"100,000-124,999",5-10 years,Under 1 year,desktop,,Never,,Yes,,,Yes,,,,,Yes,Yes,,,
60-69,Man,college study without degree,Other,Computers/Technology,250-999 employees,I do not know,"50,000-59,999",I have never written code,,,,,Other,,,,,,,,,,,,,
22-24,Man,Master's,Data Scientist,Computers/Technology,"10,000 or more employees",exploring,"100,000-124,999",1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,,,,,Yes,,Yes,Yes
30-34,Man,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,Yes,,,,,,,,,,,
55-59,Prefer not to say,Master's,DBA/Database Engineer,Academics/Education,250-999 employees,exploring,0-999,20+ years,5-10 years,cloud computing platform,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
50-54,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,desktop,,Never,Local development environments,Yes,,,Yes,Yes,,,,,,,,
35-39,Woman,Master's,Machine Learning Engineer,Online Service/Internet-based Services,"10,000 or more employees",well established,"150,000-199,999",5-10 years,5-10 years,cloud computing platform,MySQL ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes
30-34,Man,Doctoral,Data Scientist,Computers/Technology,"10,000 or more employees",well established,"125,000-149,999",5-10 years,3-4 years,laptop,,Never,Other,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes
55-59,Prefer not to say,Doctoral,Research Scientist,Military/Security/Defense,"1000-9,999 employees",well established,0-999,20+ years,5-10 years,laptop,MongoDB ,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50-54,Man,Master's,Program/Project Manager,Computers/Technology,"10,000 or more employees",recently started,"125,000-149,999",5-10 years,Under 1 year,laptop,MongoDB ,Never,Basic statistical software,Yes,,,Yes,,,,,,Yes,Yes,,
40-44,Woman,college study without degree,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
70+,Man,Doctoral,Research Scientist,Academics/Education,250-999 employees,I do not know,"10,000-14,999",20+ years,20 or more years,laptop,,Never,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55-59,Man,Bachelor's,Student,,,,,3-5 years,1-2 years,desktop,,Never,Basic statistical software,Yes,,Yes,Yes,,,Yes,,Yes,,,,
55-59,Man,Master's,Program/Project Manager,Other,"1000-9,999 employees",well established,"150,000-199,999",20+ years,1-2 years,laptop,,2-5 times,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,
45-49,Man,Master's,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",well established,"300,000-499,999",20+ years,10-20 years,cloud computing platform,Google Cloud BigQuery ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
45-49,Man,Master's,Data Scientist,Non-profit/Service,50-249 employees,exploring,"70,000-79,999",5-10 years,4-5 years,laptop,Oracle Database ,Never,Local development environments,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,
